Model,Language,Code Completion Rate,Logical Error Rate,Syntax Error Rate,All Test Passed Rate,Average Code Length
GPT3.5,en,100.0,21.01,51.75,27.24,185.35
GPT3.5,es,100.0,20.23,53.7,26.07,212.65
GPT3.5,hi,100.0,29.19,51.36,19.45,161.7
GPT3.5,ja,100.0,23.74,50.58,25.68,164.46
GPT3.5,ru,99.61,20.62,51.36,28.02,165.15
GPT3.5,zh-cn,100.0,20.23,52.53,27.24,148.48
GPT3.5-direct-translation,es,100.0,21.79,51.75,26.46,195.12
GPT3.5-direct-translation,hi,99.61,27.63,52.14,20.23,174.75
GPT3.5-direct-translation,ja,100.0,26.84,50.2,22.96,190.2
GPT3.5-direct-translation,ru,99.61,23.74,49.8,26.46,183.07
GPT3.5-direct-translation,zh-cn,100.0,22.95,50.2,26.85,184.91
GPT3.5-multi,en,100.0,17.12,50.58,32.3,191.28
GPT3.5-multi,es,99.61,16.73,52.14,31.13,191.73
GPT3.5-multi,hi,100.0,23.34,54.09,22.57,180.13
GPT3.5-multi,ja,100.0,20.63,50.97,28.4,185.63
GPT3.5-multi,ru,100.0,20.23,52.53,27.24,183.89
GPT3.5-multi,zh-cn,100.0,16.73,51.75,31.52,197.36
GPT3.5-multi-epoch3,en,100.0,17.9,50.58,31.52,208.96
GPT3.5-multi-epoch3,es,100.0,18.29,51.75,29.96,211.61
GPT3.5-multi-epoch3,hi,100.0,23.74,55.25,21.01,195.03
GPT3.5-multi-epoch3,ja,100.0,19.46,52.14,28.4,211.07
GPT3.5-multi-epoch3,ru,100.0,15.95,54.09,29.96,200.18
GPT3.5-multi-epoch3,zh-cn,100.0,18.29,51.36,30.35,207.52
GPT4,en,99.61,10.9,47.47,41.63,166.86
GPT4,es,99.61,12.85,49.8,37.35,172.91
GPT4,hi,100.0,17.9,49.8,32.3,155.5
GPT4,ja,99.22,13.62,50.58,35.8,156.64
GPT4,ru,99.61,17.12,48.25,34.63,145.61
GPT4,zh-cn,99.61,16.73,50.97,32.3,150.98
CodeLlama-13b-Instruct-bootstrapped-multi,en,94.94,25.68,55.64,18.68,128.4
CodeLlama-13b-Instruct-bootstrapped-multi,es,91.44,25.68,56.81,17.51,122.65
CodeLlama-13b-Instruct-bootstrapped-multi,hi,25.29,78.21,20.62,1.17,73.6
CodeLlama-13b-Instruct-bootstrapped-multi,ja,86.38,34.63,52.92,12.45,128.72
CodeLlama-13b-Instruct-bootstrapped-multi,ru,90.66,28.01,57.2,14.79,128.5
CodeLlama-13b-Instruct-bootstrapped-multi,zh-cn,90.27,28.41,54.86,16.73,124.35
CodeLlama-13b-Instruct-multi,en,97.28,27.63,52.14,20.23,142.36
CodeLlama-13b-Instruct-multi,es,93.0,24.51,57.2,18.29,144.93
CodeLlama-13b-Instruct-multi,hi,17.12,87.16,11.28,1.56,92.5
CodeLlama-13b-Instruct-multi,ja,85.99,33.46,52.92,13.62,133.6
CodeLlama-13b-Instruct-multi,ru,92.61,26.46,56.42,17.12,138.23
CodeLlama-13b-Instruct-multi,zh-cn,91.05,27.24,54.47,18.29,136.88
CodeLlama-7b-Instruct-bootstrapped-multi,en,95.72,27.63,52.53,19.84,110.48
CodeLlama-7b-Instruct-bootstrapped-multi,es,92.61,29.57,53.7,16.73,105.17
CodeLlama-7b-Instruct-bootstrapped-multi,hi,23.35,82.49,17.12,0.39,76.07
CodeLlama-7b-Instruct-bootstrapped-multi,ja,93.0,29.58,54.47,15.95,101.52
CodeLlama-7b-Instruct-bootstrapped-multi,ru,92.22,34.24,50.58,15.18,106.64
CodeLlama-7b-Instruct-bootstrapped-multi,zh-cn,92.61,30.74,54.47,14.79,102.83
CodeLlama-7b-Instruct-multi,en,91.83,28.79,53.31,17.9,134.18
CodeLlama-7b-Instruct-multi,es,91.05,26.07,55.64,18.29,136.47
CodeLlama-7b-Instruct-multi,hi,50.19,61.87,34.63,3.5,95.14
CodeLlama-7b-Instruct-multi,ja,85.6,34.24,50.58,15.18,131.67
CodeLlama-7b-Instruct-multi,ru,91.05,31.51,53.7,14.79,133.14
CodeLlama-7b-Instruct-multi,zh-cn,90.27,35.41,53.31,11.28,132.69
codelamma-13b-instruct,en,17.51,83.66,12.06,4.28,76.73
codelamma-13b-instruct,es,19.84,83.27,12.45,4.28,71.98
codelamma-13b-instruct,hi,10.89,93.38,6.23,0.39,59.93
codelamma-13b-instruct,ja,31.91,74.32,21.4,4.28,72.59
codelamma-13b-instruct,ru,10.12,91.05,6.23,2.72,71.85
codelamma-13b-instruct,zh-cn,18.68,83.27,13.23,3.5,71.48
codelamma-13b-instruct-direct-translation,es,20.62,82.1,13.62,4.28,70.23
codelamma-13b-instruct-direct-translation,hi,35.02,71.2,27.63,1.17,66.52
codelamma-13b-instruct-direct-translation,ja,21.4,82.49,14.4,3.11,78.65
codelamma-13b-instruct-direct-translation,ru,13.62,87.93,9.73,2.34,64.06
codelamma-13b-instruct-direct-translation,zh-cn,19.84,82.1,14.4,3.5,74.12
codelamma-13b-python,en,42.41,64.2,22.57,13.23,76.79
codelamma-13b-python,es,79.77,35.8,47.47,16.73,93.07
codelamma-13b-python,hi,43.19,68.49,28.79,2.72,57.34
codelamma-13b-python,ja,85.21,35.02,47.86,17.12,78.77
codelamma-13b-python,ru,38.13,68.49,19.84,11.67,63.47
codelamma-13b-python,zh-cn,28.79,74.7,19.07,6.23,86.82
codelamma-13b-python-direct-translation,es,78.21,36.19,47.08,16.73,93.97
codelamma-13b-python-direct-translation,hi,48.25,66.54,29.96,3.5,60.64
codelamma-13b-python-direct-translation,ja,84.82,33.47,49.8,16.73,80.75
codelamma-13b-python-direct-translation,ru,40.08,67.71,19.84,12.45,68.4
codelamma-13b-python-direct-translation,zh-cn,27.63,75.88,17.12,7.0,89.08
codelamma-7b-instruct,en,46.3,63.04,24.12,12.84,84.9
codelamma-7b-instruct,es,86.77,28.8,50.97,20.23,101.07
codelamma-7b-instruct,hi,43.19,65.37,31.13,3.5,64.23
codelamma-7b-instruct,ja,61.87,50.58,38.91,10.51,78.74
codelamma-7b-instruct,ru,80.16,39.69,42.41,17.9,84.31
codelamma-7b-instruct,zh-cn,27.24,77.43,16.34,6.23,74.71
codelamma-7b-instruct-direct-translation,es,52.92,56.81,35.02,8.17,87.9
codelamma-7b-instruct-direct-translation,hi,52.53,61.08,36.58,2.34,81.6
codelamma-7b-instruct-direct-translation,ja,61.87,52.91,31.91,15.18,89.52
codelamma-7b-instruct-direct-translation,ru,52.14,61.87,24.51,13.62,85.19
codelamma-7b-instruct-direct-translation,zh-cn,33.46,73.15,23.35,3.5,78.03
codelamma-7b-python,en,31.52,75.49,17.51,7.0,69.41
codelamma-7b-python,es,56.81,54.86,32.3,12.84,85.81
codelamma-7b-python,hi,13.23,89.1,10.12,0.78,55.29
codelamma-7b-python,ja,75.1,43.58,42.8,13.62,74.8
codelamma-7b-python,ru,66.15,47.08,39.3,13.62,72.93
codelamma-7b-python,zh-cn,30.35,73.93,19.45,6.62,72.19
codelamma-7b-python-direct-translation,es,56.42,56.42,29.18,14.4,82.43
codelamma-7b-python-direct-translation,hi,16.73,87.15,10.51,2.34,63.47
codelamma-7b-python-direct-translation,ja,63.42,52.14,33.46,14.4,77.08
codelamma-7b-python-direct-translation,ru,68.87,46.31,37.74,15.95,78.71
codelamma-7b-python-direct-translation,zh-cn,34.63,70.43,20.23,9.34,74.15
